0,0,0
54,58,42
0,58,0
70,105,52
0,105,0
43,164,65
0,0,42
51,51,128
0,0,128
51,42,229
0,164,0
52,229,49
0,229,0
65,284,46
0,58,52
58,105,112
0,58,112
47,101,190
43,105,0
120,150,74
52,150,0
141,216,43
52,150,43
119,213,122
0,164,49
41,227,114
65,216,0
118,292,80
52,150,122
109,213,205
70,0,0
136,70,61
118,216,0
178,290,72
120,70,0
204,117,67
141,117,0
192,206,68
136,0,0
235,60,43
136,0,43
224,53,104
70,0,61
128,65,155
178,206,0
242,263,53
70,0,155
128,61,236
0,229,46
65,275,150
120,70,67
186,117,169
65,216,80
112,270,164
0,164,114
41,226,223
136,0,104
205,49,213
141,117,68
185,200,132
118,216,72
163,286,167
192,117,0
241,177,84
83,216,167
163,275,238
141,117,132
181,186,232
178,206,53
232,294,141
178,206,141
227,289,224
43,105,74
116,146,162
185,117,84
241,173,175
120,68,169
187,117,269
185,117,175
235,168,285
52,146,205
110,213,278
12,226,164
83,288,258
47,86,162
115,146,270
129,210,238
227,289,282
128,0,213
233,57,285
0,0,0
85,69,60
1,42,190
47,123,282
0,69,0
91,153,56
124,117,232
185,207,285
0,153,0
73,241,71
0,0,60
63,48,153
0,69,56
81,125,155
0,241,0
94,317,61
91,0,0
141,102,69
91,0,69
135,102,147
187,57,67
244,115,165
0,153,71
60,217,156
73,153,0
183,205,70
94,205,0
181,285,83
0,69,155
78,123,239
0,241,61
64,314,165
141,0,0
195,81,108
181,205,0
240,290,110
94,205,83
142,279,188
183,81,0
239,169,106
0,241,165
54,313,269
168,205,110
240,290,210
183,81,106
239,149,205
168,205,210
240,283,284
60,139,71
127,205,169
42,135,169
127,205,257
91,0,147
160,97,248
160,0,108
235,79,214
0,0,153
86,63,257
127,115,70
181,205,162
54,215,188
152,279,284
135,97,205
239,187,273
0,0,0
56,105,71
0,105,0
91,186,72
0,186,0
66,283,100
56,0,0
124,88,87
66,186,0
171,240,108
124,0,0
207,110,95
124,0,95
205,90,204
169,0,214
235,97,285
0,105,72
71,184,157
66,186,108
161,234,218
66,240,0
150,315,96
91,110,0
192,158,102
171,158,0
239,249,85
44,0,87
124,87,176
66,240,96
146,318,182
0,186,100
54,278,207
104,90,102
192,165,212
162,165,108
239,260,207
0,94,157
74,186,240
0,0,0
80,97,88
0,97,0
81,192,96
0,192,0
68,293,103
68,192,0
159,255,109
81,0,0
161,103,95
81,103,0
176,191,110
80,98,110
176,191,213
187,57,165
243,97,223
0,164,223
40,207,285
70,0,236
114,65,283
0,69,239
84,120,284
86,213,238
129,298,282
0,123,65
40,164,133
0,0,229
64,40,277
44,0,176
112,49,220
187,57,223
243,98,285
150,260,0
203,310,75
0,153,156
42,200,252
0,0,71
44,58,167
66,240,182
119,303,240
0,123,162
45,163,240
150,260,75
212,309,168
150,260,168
209,311,244
192,110,0
232,157,109
185,169,224
232,210,284
68,192,109
154,245,171
192,110,109
239,160,209
25,49,176
124,90,220
0,0,88
51,76,159
68,255,0
167,310,53
0,97,96
53,141,173
0,192,103
59,256,186
124,0,204
173,84,244
0,278,100
64,318,175
0,0,159
49,72,227
68,255,53
149,295,127
81,0,95
155,85,138
81,0,138
148,54,189
161,0,0
219,65,58
167,191,0
234,270,72
167,191,72
227,260,145
176,65,0
231,136,82
0,141,96
80,189,184
176,57,82
225,136,167
167,270,0
234,312,100
167,191,145
229,266,221
176,136,0
235,187,106
161,0,58
214,44,164
68,192,171
142,248,229
176,57,167
219,123,237
0,120,184
73,189,240
68,248,127
138,316,198
81,0,189
155,76,243
176,136,106
222,181,187
0,192,186
53,285,239
155,0,164
244,53,223
167,266,100
234,318,177
60,249,198
149,293,243
149,266,177
240,314,229
0,0,0
44,81,100
0,81,0
45,147,108
0,147,0
70,245,44
0,147,44
52,197,136
192,0,204
244,94,244
45,0,0
88,99,49
0,245,0
53,314,89
70,99,0
125,180,80
0,0,167
44,47,235
70,180,0
120,273,55
0,74,173
62,120,242
88,0,0
136,97,67
176,123,187
221,183,239
0,197,44
65,245,97
0,245,89
52,309,139
45,0,49
86,92,93
70,180,55
116,266,103
120,180,0
206,230,53
53,273,0
159,316,102
136,0,0
207,91,74
125,97,0
220,154,91
159,230,0
204,286,100
70,99,80
119,156,147
120,180,53
199,224,159
136,0,74
192,87,137
125,97,91
216,151,145
0,0,100
110,73,147
52,245,103
156,316,147
0,0,0
59,77,90
0,77,0
107,169,41
0,77,41
88,120,133
0,169,0
87,226,72
159,224,100
222,297,162
87,169,0
127,271,77
107,0,0
175,110,53
107,0,53
154,93,137
0,226,0
46,295,80
127,110,0
183,208,83
127,208,0
189,287,98
52,157,103
116,245,161
17,169,77
127,219,155
0,120,41
80,164,114
175,0,0
218,104,65
127,100,83
183,208,158
159,0,65
218,96,138
0,73,108
64,142,156
94,219,98
189,300,162
0,0,90
106,64,160
0,219,80
61,315,144
183,104,0
223,200,92
183,104,92
223,191,155
Cost of Delay : 38115
Package number: 30 is a PRIORITY package but it has not been taken
