31764,220,3
1,4,0,127,0,99,182,53
2,6,75,230,70,156,286,169
3,3,47,240,135,98,282,236
4,2,81,90,103,189,165,159
5,1,0,54,41,88,118,99
6,6,146,0,132,230,56,223
7,NONE,-1,-1,-1,-1,-1,-1
8,NONE,-1,-1,-1,-1,-1,-1
9,6,156,226,104,227,299,192
10,6,75,230,0,163,315,70
11,4,99,113,162,179,168,243
12,4,110,0,0,158,88,80
13,NONE,-1,-1,-1,-1,-1,-1
14,4,58,182,50,103,263,96
15,3,100,74,125,149,134,209
16,3,0,128,67,63,176,160
17,3,135,169,67,192,232,150
18,NONE,-1,-1,-1,-1,-1,-1
19,2,0,205,70,69,256,157
20,6,0,174,0,106,230,88
21,NONE,-1,-1,-1,-1,-1,-1
22,NONE,-1,-1,-1,-1,-1,-1
23,3,193,100,0,244,210,50
24,NONE,-1,-1,-1,-1,-1,-1
25,3,149,92,125,193,145,202
26,4,0,247,0,56,316,73
27,3,182,261,136,244,310,229
28,2,0,110,0,81,205,64
29,4,99,115,0,185,168,62
30,NONE,-1,-1,-1,-1,-1,-1
31,NONE,-1,-1,-1,-1,-1,-1
32,4,58,182,96,102,252,194
33,NONE,-1,-1,-1,-1,-1,-1
34,NONE,-1,-1,-1,-1,-1,-1
35,NONE,-1,-1,-1,-1,-1,-1
36,6,68,92,0,146,172,86
37,4,0,0,0,76,51,59
38,NONE,-1,-1,-1,-1,-1,-1
39,NONE,-1,-1,-1,-1,-1,-1
40,2,68,0,0,138,90,45
41,5,83,96,96,151,186,200
42,5,180,273,168,242,314,277
43,NONE,-1,-1,-1,-1,-1,-1
44,3,90,134,185,130,218,234
45,6,0,0,74,91,81,146
46,6,146,0,61,240,62,132
47,NONE,-1,-1,-1,-1,-1,-1
48,4,54,263,156,102,316,221
49,3,170,0,0,239,100,40
50,6,163,226,0,227,299,104
51,NONE,-1,-1,-1,-1,-1,-1
52,NONE,-1,-1,-1,-1,-1,-1
53,4,58,263,50,102,316,156
54,4,51,51,83,102,110,189
55,NONE,-1,-1,-1,-1,-1,-1
56,NONE,-1,-1,-1,-1,-1,-1
57,4,51,51,0,110,115,83
58,NONE,-1,-1,-1,-1,-1,-1
59,4,158,0,0,207,79,85
60,NONE,-1,-1,-1,-1,-1,-1
61,NONE,-1,-1,-1,-1,-1,-1
62,1,180,182,45,223,270,137
63,NONE,-1,-1,-1,-1,-1,-1
64,NONE,-1,-1,-1,-1,-1,-1
65,2,106,174,0,156,284,78
66,1,56,143,106,142,190,156
67,NONE,-1,-1,-1,-1,-1,-1
68,5,82,96,200,128,188,281
69,3,135,242,145,182,296,229
70,NONE,-1,-1,-1,-1,-1,-1
71,5,180,273,69,240,316,168
72,NONE,-1,-1,-1,-1,-1,-1
73,6,0,83,172,63,169,276
74,NONE,-1,-1,-1,-1,-1,-1
75,4,105,228,0,179,313,43
76,NONE,-1,-1,-1,-1,-1,-1
77,NONE,-1,-1,-1,-1,-1,-1
78,2,0,269,0,104,311,74
79,NONE,-1,-1,-1,-1,-1,-1
80,3,170,0,104,214,43,189
81,NONE,-1,-1,-1,-1,-1,-1
82,6,0,230,181,71,296,278
83,NONE,-1,-1,-1,-1,-1,-1
84,NONE,-1,-1,-1,-1,-1,-1
85,4,0,0,152,44,47,220
86,3,0,177,154,41,240,219
87,1,0,0,102,107,53,156
88,NONE,-1,-1,-1,-1,-1,-1
89,NONE,-1,-1,-1,-1,-1,-1
90,NONE,-1,-1,-1,-1,-1,-1
91,NONE,-1,-1,-1,-1,-1,-1
92,4,0,182,0,58,247,58
93,NONE,-1,-1,-1,-1,-1,-1
94,6,146,76,0,244,142,67
95,NONE,-1,-1,-1,-1,-1,-1
96,NONE,-1,-1,-1,-1,-1,-1
97,4,0,182,58,53,235,151
98,NONE,-1,-1,-1,-1,-1,-1
99,4,105,228,141,175,296,212
100,NONE,-1,-1,-1,-1,-1,-1
101,NONE,-1,-1,-1,-1,-1,-1
102,2,0,205,0,106,269,70
103,6,142,68,225,220,170,269
104,NONE,-1,-1,-1,-1,-1,-1
105,5,0,96,95,80,199,190
106,6,0,174,88,92,228,178
107,NONE,-1,-1,-1,-1,-1,-1
108,NONE,-1,-1,-1,-1,-1,-1
109,3,0,0,0,44,79,98
110,NONE,-1,-1,-1,-1,-1,-1
111,NONE,-1,-1,-1,-1,-1,-1
112,3,47,177,0,114,240,79
113,NONE,-1,-1,-1,-1,-1,-1
114,NONE,-1,-1,-1,-1,-1,-1
115,NONE,-1,-1,-1,-1,-1,-1
116,NONE,-1,-1,-1,-1,-1,-1
117,3,104,0,172,153,52,237
118,NONE,-1,-1,-1,-1,-1,-1
119,NONE,-1,-1,-1,-1,-1,-1
120,NONE,-1,-1,-1,-1,-1,-1
121,NONE,-1,-1,-1,-1,-1,-1
122,NONE,-1,-1,-1,-1,-1,-1
123,5,203,0,58,243,43,120
124,6,106,172,81,178,226,185
125,6,0,83,0,68,174,85
126,6,63,109,194,127,169,279
127,NONE,-1,-1,-1,-1,-1,-1
128,NONE,-1,-1,-1,-1,-1,-1
129,5,95,257,156,180,316,266
130,3,0,250,162,40,295,240
131,NONE,-1,-1,-1,-1,-1,-1
132,NONE,-1,-1,-1,-1,-1,-1
133,5,0,193,209,91,302,272
134,5,0,96,190,80,193,278
135,4,179,242,76,224,308,184
136,3,0,177,0,47,279,66
137,NONE,-1,-1,-1,-1,-1,-1
138,NONE,-1,-1,-1,-1,-1,-1
139,6,0,230,0,75,314,96
140,NONE,-1,-1,-1,-1,-1,-1
141,2,130,246,102,217,316,145
142,6,0,0,0,92,83,74
143,NONE,-1,-1,-1,-1,-1,-1
144,NONE,-1,-1,-1,-1,-1,-1
145,5,93,0,0,172,75,106
146,1,103,190,0,203,246,45
147,3,193,152,50,239,207,115
148,3,0,128,0,100,177,67
149,NONE,-1,-1,-1,-1,-1,-1
150,3,0,79,187,58,121,241
151,1,56,146,0,135,190,106
152,4,179,242,184,228,309,241
153,NONE,-1,-1,-1,-1,-1,-1
154,NONE,-1,-1,-1,-1,-1,-1
155,NONE,-1,-1,-1,-1,-1,-1
156,4,67,0,80,140,47,190
157,6,92,0,107,146,88,195
158,NONE,-1,-1,-1,-1,-1,-1
159,4,105,168,120,157,218,212
160,NONE,-1,-1,-1,-1,-1,-1
161,NONE,-1,-1,-1,-1,-1,-1
162,3,0,79,83,65,125,187
163,3,0,79,0,83,128,83
164,NONE,-1,-1,-1,-1,-1,-1
165,5,0,0,0,93,96,103
166,NONE,-1,-1,-1,-1,-1,-1
167,4,58,182,0,105,282,50
168,6,0,83,85,68,171,172
169,2,156,146,0,204,240,87
170,1,0,233,0,44,314,100
171,4,0,0,59,55,50,152
172,4,0,51,0,51,127,71
173,NONE,-1,-1,-1,-1,-1,-1
174,NONE,-1,-1,-1,-1,-1,-1
175,NONE,-1,-1,-1,-1,-1,-1
176,NONE,-1,-1,-1,-1,-1,-1
177,3,149,63,202,193,162,243
178,NONE,-1,-1,-1,-1,-1,-1
179,2,150,174,87,212,237,160
180,6,146,70,145,205,141,225
181,3,44,0,72,101,58,170
182,NONE,-1,-1,-1,-1,-1,-1
183,5,98,0,209,203,57,281
184,NONE,-1,-1,-1,-1,-1,-1
185,4,99,115,62,166,157,162
186,1,107,43,57,154,136,141
187,6,0,0,229,84,78,283
188,3,135,169,150,186,220,236
189,1,0,146,0,56,233,63
190,NONE,-1,-1,-1,-1,-1,-1
191,NONE,-1,-1,-1,-1,-1,-1
192,4,140,0,157,194,74,233
193,NONE,-1,-1,-1,-1,-1,-1
194,NONE,-1,-1,-1,-1,-1,-1
195,NONE,-1,-1,-1,-1,-1,-1
196,NONE,-1,-1,-1,-1,-1,-1
197,NONE,-1,-1,-1,-1,-1,-1
198,2,81,90,0,155,174,59
199,3,135,169,0,193,242,67
200,NONE,-1,-1,-1,-1,-1,-1
201,NONE,-1,-1,-1,-1,-1,-1
202,4,0,247,150,40,299,244
203,NONE,-1,-1,-1,-1,-1,-1
204,NONE,-1,-1,-1,-1,-1,-1
205,3,193,100,199,240,209,239
206,3,88,134,125,135,175,185
207,3,100,74,0,170,169,45
208,NONE,-1,-1,-1,-1,-1,-1
209,2,106,174,78,150,246,153
210,NONE,-1,-1,-1,-1,-1,-1
211,5,83,96,0,164,191,96
212,6,178,152,81,226,226,186
